estacion,fecha,hora_unix,fecha_hora,temp_c,humedad_pct,viento_kmh,viento_rafaga_kmh,direcc_grados,presion_relativa_hpa,presion_absoluta_hpa,lluvia_diaria_mm,solar_wm2
INTA_POCITO,2026-01-01,1767236400,2026-01-01 00:00:00,25.2,55,0.0,1.8,125,1019.3,938.7,0.2,0.0
INTA_POCITO,2026-01-01,1767238200,2026-01-01 00:30:00,22.3,77,0.0,0.0,161,1019.3,938.7,1.0,0.0
ULLUM_EMBALSE,2026-01-01,1767236400,2026-01-01 00:00:00,25.4,53,5.6,16.6,245,1008.6,922.9,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767238200,2026-01-01 00:30:00,25.5,51,10.1,27.7,239,1008.6,922.9,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767240000,2026-01-01 01:00:00,24.5,58,5.5,13.0,53,1008.4,922.7,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767241800,2026-01-01 01:30:00,24.6,58,3.4,13.0,319,1008.1,922.4,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767243600,2026-01-01 02:00:00,24.2,61,4.5,13.0,2,1007.9,922.2,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767245400,2026-01-01 02:30:00,24.1,61,7.4,14.8,349,1007.5,921.9,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767247200,2026-01-01 03:00:00,23.8,63,5.2,11.2,44,1007.5,921.8,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767249000,2026-01-01 03:30:00,23.2,66,2.9,7.2,66,1007.3,921.6,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767250800,2026-01-01 04:00:00,23.4,62,1.6,5.4,28,1007.1,921.4,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767252600,2026-01-01 04:30:00,23.1,66,2.4,5.4,2,1006.8,921.1,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767254400,2026-01-01 05:00:00,22.5,67,3.5,7.2,32,1006.6,920.9,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767256200,2026-01-01 05:30:00,23.0,67,8.2,14.8,323,1006.5,920.8,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767258000,2026-01-01 06:00:00,23.1,68,8.7,14.8,295,1006.3,920.6,0.0,2.0
ULLUM_EMBALSE,2026-01-01,1767259800,2026-01-01 06:30:00,22.4,73,12.3,20.2,332,1006.3,920.5,0.0,19.7
ULLUM_EMBALSE,2026-01-01,1767261600,2026-01-01 07:00:00,21.8,79,11.7,16.6,344,1006.3,920.6,0.0,34.9
ULLUM_EMBALSE,2026-01-01,1767263400,2026-01-01 07:30:00,22.3,75,10.1,16.6,330,1006.5,920.8,0.0,112.3
ULLUM_EMBALSE,2026-01-01,1767265200,2026-01-01 08:00:00,23.4,64,6.6,13.0,294,1006.7,921.0,0.0,194.8
ULLUM_EMBALSE,2026-01-01,1767267000,2026-01-01 08:30:00,24.5,58,6.1,9.4,346,1006.7,921.0,0.0,291.0
ULLUM_EMBALSE,2026-01-01,1767268800,2026-01-01 09:00:00,26.2,52,1.7,3.6,358,1006.7,921.0,0.0,392.5
ULLUM_EMBALSE,2026-01-01,1767270600,2026-01-01 09:30:00,27.8,43,4.3,11.2,23,1006.6,920.8,0.0,492.6
ULLUM_EMBALSE,2026-01-01,1767272400,2026-01-01 10:00:00,28.8,42,3.1,7.2,353,1006.4,920.7,0.0,584.8
ULLUM_EMBALSE,2026-01-01,1767274200,2026-01-01 10:30:00,29.4,39,4.5,9.4,123,1006.3,920.6,0.0,668.9
ULLUM_EMBALSE,2026-01-01,1767276000,2026-01-01 11:00:00,30.5,35,5.1,14.8,140,1006.1,920.4,0.0,740.6
ULLUM_EMBALSE,2026-01-01,1767277800,2026-01-01 11:30:00,31.0,35,6.8,14.8,147,1005.7,920.0,0.0,798.5
ULLUM_EMBALSE,2026-01-01,1767279600,2026-01-01 12:00:00,31.4,35,5.4,13.0,160,1005.3,919.6,0.0,842.5
ULLUM_EMBALSE,2026-01-01,1767281400,2026-01-01 12:30:00,32.0,34,7.7,14.8,177,1004.9,919.1,0.0,873.5
ULLUM_EMBALSE,2026-01-01,1767283200,2026-01-01 13:00:00,32.8,32,7.0,20.2,161,1004.4,918.7,0.0,887.0
ULLUM_EMBALSE,2026-01-01,1767285000,2026-01-01 13:30:00,33.4,31,6.4,20.2,184,1003.8,918.1,0.0,887.9
ULLUM_EMBALSE,2026-01-01,1767286800,2026-01-01 14:00:00,34.0,30,5.5,20.2,174,1003.2,917.5,0.0,884.1
ULLUM_EMBALSE,2026-01-01,1767288600,2026-01-01 14:30:00,34.6,29,7.3,20.2,154,1002.7,917.0,0.0,865.1
ULLUM_EMBALSE,2026-01-01,1767290400,2026-01-01 15:00:00,35.0,29,8.2,23.8,169,1002.3,916.5,0.0,830.9
ULLUM_EMBALSE,2026-01-01,1767292200,2026-01-01 15:30:00,35.5,27,7.6,18.4,179,1001.9,916.2,0.0,787.3
ULLUM_EMBALSE,2026-01-01,1767294000,2026-01-01 16:00:00,35.8,27,8.3,20.2,177,1001.6,915.9,0.0,719.3
ULLUM_EMBALSE,2026-01-01,1767295800,2026-01-01 16:30:00,35.7,27,11.1,29.5,179,1001.3,915.7,0.0,646.8
ULLUM_EMBALSE,2026-01-01,1767297600,2026-01-01 17:00:00,35.9,26,10.3,23.8,183,1001.0,915.4,0.0,559.7
ULLUM_EMBALSE,2026-01-01,1767299400,2026-01-01 17:30:00,36.1,25,9.1,20.2,177,1000.8,915.1,0.0,475.2
ULLUM_EMBALSE,2026-01-01,1767301200,2026-01-01 18:00:00,35.4,24,9.1,18.4,176,1000.7,915.0,0.0,357.1
ULLUM_EMBALSE,2026-01-01,1767303000,2026-01-01 18:30:00,34.9,25,8.2,22.0,174,1000.7,915.0,0.0,211.2
ULLUM_EMBALSE,2026-01-01,1767304800,2026-01-01 19:00:00,34.5,26,8.0,20.2,186,1000.9,915.2,0.0,48.0
ULLUM_EMBALSE,2026-01-01,1767306600,2026-01-01 19:30:00,34.3,26,7.6,14.8,186,1001.2,915.5,0.0,49.5
ULLUM_EMBALSE,2026-01-01,1767308400,2026-01-01 20:00:00,34.2,26,8.1,16.6,193,1001.6,915.9,0.0,25.1
ULLUM_EMBALSE,2026-01-01,1767310200,2026-01-01 20:30:00,33.9,27,6.9,14.8,183,1002.1,916.4,0.0,9.3
ULLUM_EMBALSE,2026-01-01,1767312000,2026-01-01 21:00:00,33.5,27,5.9,9.4,169,1002.2,916.4,0.0,0.2
ULLUM_EMBALSE,2026-01-01,1767313800,2026-01-01 21:30:00,33.1,28,4.2,9.4,186,1002.4,916.7,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767315600,2026-01-01 22:00:00,32.6,28,4.1,7.2,125,1003.0,917.3,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767317400,2026-01-01 22:30:00,31.4,34,2.2,9.4,358,1003.3,917.6,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767319200,2026-01-01 23:00:00,32.0,30,6.0,13.0,190,1003.4,917.7,0.0,0.0
ULLUM_EMBALSE,2026-01-01,1767321000,2026-01-01 23:30:00,30.9,37,2.7,7.2,200,1003.7,918.0,0.0,0.0
ECOHUMUS,2026-01-01,1767236400,2026-01-01 00:00:00,25.9,50,11.9,36.7,158,945.2,945.2,0.0,0.0
ECOHUMUS,2026-01-01,1767238200,2026-01-01 00:30:00,26.8,44,3.8,27.7,214,946.0,946.0,0.0,0.0
ECOHUMUS,2026-01-01,1767240000,2026-01-01 01:00:00,25.5,52,2.2,11.2,225,946.0,946.0,0.0,0.0
ECOHUMUS,2026-01-01,1767241800,2026-01-01 01:30:00,23.6,61,1.5,9.4,218,945.8,945.8,0.3,0.0
ECOHUMUS,2026-01-01,1767243600,2026-01-01 02:00:00,22.1,73,0.1,1.8,202,945.6,945.6,0.3,0.0
ECOHUMUS,2026-01-01,1767245400,2026-01-01 02:30:00,21.6,75,2.0,7.2,152,945.7,945.7,0.8,0.0
ECOHUMUS,2026-01-01,1767247200,2026-01-01 03:00:00,21.7,72,1.6,5.4,143,945.3,945.3,0.8,0.0
ECOHUMUS,2026-01-01,1767249000,2026-01-01 03:30:00,21.6,70,1.4,5.4,171,944.9,944.9,0.8,0.0
ECOHUMUS,2026-01-01,1767250800,2026-01-01 04:00:00,20.1,81,0.1,3.6,177,944.5,944.5,0.8,0.0
ECOHUMUS,2026-01-01,1767252600,2026-01-01 04:30:00,19.2,85,0.2,3.6,184,944.3,944.3,0.8,0.0
ECOHUMUS,2026-01-01,1767254400,2026-01-01 05:00:00,18.6,87,0.5,3.6,231,944.3,944.3,0.0,0.0
ECOHUMUS,2026-01-01,1767256200,2026-01-01 05:30:00,17.8,88,0.0,1.8,224,944.3,944.3,0.0,0.0
ECOHUMUS,2026-01-01,1767258000,2026-01-01 06:00:00,17.4,88,0.0,0.0,213,944.1,944.1,0.0,2.6
ECOHUMUS,2026-01-01,1767259800,2026-01-01 06:30:00,17.4,88,0.0,1.8,212,944.0,944.0,0.0,18.1
ECOHUMUS,2026-01-01,1767261600,2026-01-01 07:00:00,19.3,82,0.4,3.6,222,944.1,944.1,0.0,43.0
ECOHUMUS,2026-01-01,1767263400,2026-01-01 07:30:00,21.4,72,1.5,7.2,191,944.3,944.3,0.0,78.7
ECOHUMUS,2026-01-01,1767265200,2026-01-01 08:00:00,23.9,61,3.6,11.2,32,944.4,944.4,0.0,172.6
ECOHUMUS,2026-01-01,1767267000,2026-01-01 08:30:00,25.4,56,3.9,11.2,22,944.6,944.6,0.0,263.0
