estacion,time_unix,fecha,hora,temp,humedad,viento,viento_rafaga,direcc,presion_relativa,presion_absoluta,rain_daily,solar,timestamp
INTA_POCITO,1767225,2026-01-01,00:00:00,25.2,55.0,0.0,1.8,125.0,1019.3,938.7,0.2,0.0,2026-01-01 00:00:00
INTA_POCITO,1767227,2026-01-01,00:30:00,22.3,77.0,0.0,0.0,161.0,1019.3,938.7,1.0,0.0,2026-01-01 00:30:00
ULLUM_EMBALSE,1767225,2026-01-01,00:00:00,25.4,53.0,5.6,16.6,245.0,1008.6,922.9,0.0,0.0,2026-01-01 00:00:00
ULLUM_EMBALSE,1767227,2026-01-01,00:30:00,25.5,51.0,10.1,27.7,239.0,1008.6,922.9,0.0,0.0,2026-01-01 00:30:00
ULLUM_EMBALSE,1767229,2026-01-01,01:00:00,24.5,58.0,5.5,13.0,53.0,1008.4,922.7,0.0,0.0,2026-01-01 01:00:00
ULLUM_EMBALSE,1767231,2026-01-01,01:30:00,24.6,58.0,3.4,13.0,319.0,1008.1,922.4,0.0,0.0,2026-01-01 01:30:00
ULLUM_EMBALSE,1767232,2026-01-01,02:00:00,24.2,61.0,4.5,13.0,2.0,1007.9,922.2,0.0,0.0,2026-01-01 02:00:00
ULLUM_EMBALSE,1767234,2026-01-01,02:30:00,24.1,61.0,7.4,14.8,349.0,1007.5,921.9,0.0,0.0,2026-01-01 02:30:00
ULLUM_EMBALSE,1767236,2026-01-01,03:00:00,23.8,63.0,5.2,11.2,44.0,1007.5,921.8,0.0,0.0,2026-01-01 03:00:00
ULLUM_EMBALSE,1767238,2026-01-01,03:30:00,23.2,66.0,2.9,7.2,66.0,1007.3,921.6,0.0,0.0,2026-01-01 03:30:00
ULLUM_EMBALSE,1767240,2026-01-01,04:00:00,23.4,62.0,1.6,5.4,28.0,1007.1,921.4,0.0,0.0,2026-01-01 04:00:00
ULLUM_EMBALSE,1767241,2026-01-01,04:30:00,23.1,66.0,2.4,5.4,2.0,1006.8,921.1,0.0,0.0,2026-01-01 04:30:00
ULLUM_EMBALSE,1767243,2026-01-01,05:00:00,22.5,67.0,3.5,7.2,32.0,1006.6,920.9,0.0,0.0,2026-01-01 05:00:00
ULLUM_EMBALSE,1767245,2026-01-01,05:30:00,23.0,67.0,8.2,14.8,323.0,1006.5,920.8,0.0,0.0,2026-01-01 05:30:00
ULLUM_EMBALSE,1767247,2026-01-01,06:00:00,23.1,68.0,8.7,14.8,295.0,1006.3,920.6,0.0,2.0,2026-01-01 06:00:00
ULLUM_EMBALSE,1767249,2026-01-01,06:30:00,22.4,73.0,12.3,20.2,332.0,1006.3,920.5,0.0,19.7,2026-01-01 06:30:00
ULLUM_EMBALSE,1767250,2026-01-01,07:00:00,21.8,79.0,11.7,16.6,344.0,1006.3,920.6,0.0,34.9,2026-01-01 07:00:00
ULLUM_EMBALSE,1767252,2026-01-01,07:30:00,22.3,75.0,10.1,16.6,330.0,1006.5,920.8,0.0,112.3,2026-01-01 07:30:00
ULLUM_EMBALSE,1767254,2026-01-01,08:00:00,23.4,64.0,6.6,13.0,294.0,1006.7,921.0,0.0,194.8,2026-01-01 08:00:00
ULLUM_EMBALSE,1767256,2026-01-01,08:30:00,24.5,58.0,6.1,9.4,346.0,1006.7,921.0,0.0,291.0,2026-01-01 08:30:00
ULLUM_EMBALSE,1767258,2026-01-01,09:00:00,26.2,52.0,1.7,3.6,358.0,1006.7,921.0,0.0,392.5,2026-01-01 09:00:00
ULLUM_EMBALSE,1767259,2026-01-01,09:30:00,27.8,43.0,4.3,11.2,23.0,1006.6,920.8,0.0,492.6,2026-01-01 09:30:00
ULLUM_EMBALSE,1767261,2026-01-01,10:00:00,28.8,42.0,3.1,7.2,353.0,1006.4,920.7,0.0,584.8,2026-01-01 10:00:00
ULLUM_EMBALSE,1767263,2026-01-01,10:30:00,29.4,39.0,4.5,9.4,123.0,1006.3,920.6,0.0,668.9,2026-01-01 10:30:00
ULLUM_EMBALSE,1767265,2026-01-01,11:00:00,30.5,35.0,5.1,14.8,140.0,1006.1,920.4,0.0,740.6,2026-01-01 11:00:00
ULLUM_EMBALSE,1767267,2026-01-01,11:30:00,31.0,35.0,6.8,14.8,147.0,1005.7,920.0,0.0,798.5,2026-01-01 11:30:00
ULLUM_EMBALSE,1767268,2026-01-01,12:00:00,31.4,35.0,5.4,13.0,160.0,1005.3,919.6,0.0,842.5,2026-01-01 12:00:00
ULLUM_EMBALSE,1767270,2026-01-01,12:30:00,32.0,34.0,7.7,14.8,177.0,1004.9,919.1,0.0,873.5,2026-01-01 12:30:00
ULLUM_EMBALSE,1767272,2026-01-01,13:00:00,32.8,32.0,7.0,20.2,161.0,1004.4,918.7,0.0,887.0,2026-01-01 13:00:00
ULLUM_EMBALSE,1767274,2026-01-01,13:30:00,33.4,31.0,6.4,20.2,184.0,1003.8,918.1,0.0,887.9,2026-01-01 13:30:00
ULLUM_EMBALSE,1767276,2026-01-01,14:00:00,34.0,30.0,5.5,20.2,174.0,1003.2,917.5,0.0,884.1,2026-01-01 14:00:00
ULLUM_EMBALSE,1767277,2026-01-01,14:30:00,34.6,29.0,7.3,20.2,154.0,1002.7,917.0,0.0,865.1,2026-01-01 14:30:00
ULLUM_EMBALSE,1767279,2026-01-01,15:00:00,35.0,29.0,8.2,23.8,169.0,1002.3,916.5,0.0,830.9,2026-01-01 15:00:00
ULLUM_EMBALSE,1767281,2026-01-01,15:30:00,35.5,27.0,7.6,18.4,179.0,1001.9,916.2,0.0,787.3,2026-01-01 15:30:00
ULLUM_EMBALSE,1767283,2026-01-01,16:00:00,35.8,27.0,8.3,20.2,177.0,1001.6,915.9,0.0,719.3,2026-01-01 16:00:00
ULLUM_EMBALSE,1767285,2026-01-01,16:30:00,35.7,27.0,11.1,29.5,179.0,1001.3,915.7,0.0,646.8,2026-01-01 16:30:00
ULLUM_EMBALSE,1767286,2026-01-01,17:00:00,35.9,26.0,10.3,23.8,183.0,1001.0,915.4,0.0,559.7,2026-01-01 17:00:00
ULLUM_EMBALSE,1767288,2026-01-01,17:30:00,36.1,25.0,9.1,20.2,177.0,1000.8,915.1,0.0,475.2,2026-01-01 17:30:00
ULLUM_EMBALSE,1767290,2026-01-01,18:00:00,35.4,24.0,9.1,18.4,176.0,1000.7,915.0,0.0,357.1,2026-01-01 18:00:00
ULLUM_EMBALSE,1767292,2026-01-01,18:30:00,34.9,25.0,8.2,22.0,174.0,1000.7,915.0,0.0,211.2,2026-01-01 18:30:00
ULLUM_EMBALSE,1767294,2026-01-01,19:00:00,34.5,26.0,8.0,20.2,186.0,1000.9,915.2,0.0,48.0,2026-01-01 19:00:00
ULLUM_EMBALSE,1767295,2026-01-01,19:30:00,34.3,26.0,7.6,14.8,186.0,1001.2,915.5,0.0,49.5,2026-01-01 19:30:00
ULLUM_EMBALSE,1767297,2026-01-01,20:00:00,34.2,26.0,8.1,16.6,193.0,1001.6,915.9,0.0,25.1,2026-01-01 20:00:00
ULLUM_EMBALSE,1767299,2026-01-01,20:30:00,33.9,27.0,6.9,14.8,183.0,1002.1,916.4,0.0,9.3,2026-01-01 20:30:00
ULLUM_EMBALSE,1767301,2026-01-01,21:00:00,33.5,27.0,5.9,9.4,169.0,1002.2,916.4,0.0,0.2,2026-01-01 21:00:00
ULLUM_EMBALSE,1767303,2026-01-01,21:30:00,33.1,28.0,4.2,9.4,186.0,1002.4,916.7,0.0,0.0,2026-01-01 21:30:00
ULLUM_EMBALSE,1767304,2026-01-01,22:00:00,32.6,28.0,4.1,7.2,125.0,1003.0,917.3,0.0,0.0,2026-01-01 22:00:00
ULLUM_EMBALSE,1767306,2026-01-01,22:30:00,31.4,34.0,2.2,9.4,358.0,1003.3,917.6,0.0,0.0,2026-01-01 22:30:00
ULLUM_EMBALSE,1767308,2026-01-01,23:00:00,32.0,30.0,6.0,13.0,190.0,1003.4,917.7,0.0,0.0,2026-01-01 23:00:00
ULLUM_EMBALSE,1767310,2026-01-01,23:30:00,30.9,37.0,2.7,7.2,200.0,1003.7,918.0,0.0,0.0,2026-01-01 23:30:00
ECOHUMUS,1767225,2026-01-01,00:00:00,25.9,50.0,11.9,36.7,158.0,945.2,945.2,0.0,0.0,2026-01-01 00:00:00
ECOHUMUS,1767227,2026-01-01,00:30:00,26.8,44.0,3.8,27.7,214.0,946.0,946.0,0.0,0.0,2026-01-01 00:30:00
ECOHUMUS,1767229,2026-01-01,01:00:00,25.5,52.0,2.2,11.2,225.0,946.0,946.0,0.0,0.0,2026-01-01 01:00:00
ECOHUMUS,1767231,2026-01-01,01:30:00,23.6,61.0,1.5,9.4,218.0,945.8,945.8,0.3,0.0,2026-01-01 01:30:00
ECOHUMUS,1767232,2026-01-01,02:00:00,22.1,73.0,0.1,1.8,202.0,945.6,945.6,0.3,0.0,2026-01-01 02:00:00
ECOHUMUS,1767234,2026-01-01,02:30:00,21.6,75.0,2.0,7.2,152.0,945.7,945.7,0.8,0.0,2026-01-01 02:30:00
ECOHUMUS,1767236,2026-01-01,03:00:00,21.7,72.0,1.6,5.4,143.0,945.3,945.3,0.8,0.0,2026-01-01 03:00:00
ECOHUMUS,1767238,2026-01-01,03:30:00,21.6,70.0,1.4,5.4,171.0,944.9,944.9,0.8,0.0,2026-01-01 03:30:00
ECOHUMUS,1767240,2026-01-01,04:00:00,20.1,81.0,0.1,3.6,177.0,944.5,944.5,0.8,0.0,2026-01-01 04:00:00
