estacion,time_unix,fecha,hora,temp,humedad,viento,viento_rafaga,direcc,presion_relativa,presion_absoluta,rain_daily,solar,timestamp
INTA_POCITO,1785456,2026-07-31,00:00:00,10.3,83.0,0.0,0.0,119.0,1008.7,928.1,0.0,0.0,2026-07-31 00:00:00
INTA_POCITO,1785456,2026-07-31,00:05:00,10.0,83.0,0.0,0.0,139.0,1008.7,928.1,0.0,0.0,2026-07-31 00:05:00
INTA_POCITO,1785456,2026-07-31,00:10:00,9.6,84.0,0.0,0.0,170.0,1008.7,928.1,0.0,0.0,2026-07-31 00:10:00
INTA_POCITO,1785456,2026-07-31,00:15:00,9.4,85.0,0.0,0.0,170.0,1008.6,928.0,0.0,0.0,2026-07-31 00:15:00
INTA_POCITO,1785457,2026-07-31,00:20:00,9.3,86.0,0.0,0.0,173.0,1008.7,928.1,0.0,0.0,2026-07-31 00:20:00
INTA_POCITO,1785457,2026-07-31,00:25:00,9.1,86.0,0.0,0.0,177.0,1008.7,928.1,0.0,0.0,2026-07-31 00:25:00
INTA_POCITO,1785457,2026-07-31,00:30:00,8.9,87.0,0.0,0.0,165.0,1008.6,928.0,0.0,0.0,2026-07-31 00:30:00
INTA_POCITO,1785458,2026-07-31,00:35:00,8.8,87.0,0.0,0.0,167.0,1008.6,928.0,0.0,0.0,2026-07-31 00:35:00
INTA_POCITO,1785458,2026-07-31,00:40:00,8.8,88.0,0.0,0.0,187.0,1008.6,928.0,0.0,0.0,2026-07-31 00:40:00
INTA_POCITO,1785458,2026-07-31,00:45:00,8.7,88.0,0.0,0.0,166.0,1008.4,927.8,0.0,0.0,2026-07-31 00:45:00
INTA_POCITO,1785459,2026-07-31,00:50:00,8.8,88.0,0.0,0.0,196.0,1008.5,927.9,0.0,0.0,2026-07-31 00:50:00
INTA_POCITO,1785459,2026-07-31,00:55:00,8.8,88.0,0.0,0.0,147.0,1008.5,927.9,0.0,0.0,2026-07-31 00:55:00
INTA_POCITO,1785459,2026-07-31,01:00:00,9.1,88.0,0.0,0.0,136.0,1008.4,927.8,0.0,0.0,2026-07-31 01:00:00
INTA_POCITO,1785459,2026-07-31,01:05:00,9.0,88.0,0.0,0.0,143.0,1008.2,927.6,0.0,0.0,2026-07-31 01:05:00
INTA_POCITO,1785460,2026-07-31,01:10:00,8.7,88.0,0.0,0.0,149.0,1008.2,927.6,0.0,0.0,2026-07-31 01:10:00
INTA_POCITO,1785460,2026-07-31,01:15:00,8.3,88.0,0.0,0.0,158.0,1008.3,927.7,0.0,0.0,2026-07-31 01:15:00
INTA_POCITO,1785460,2026-07-31,01:20:00,8.4,88.0,0.0,0.0,128.0,1008.1,927.5,0.0,0.0,2026-07-31 01:20:00
INTA_POCITO,1785461,2026-07-31,01:25:00,8.5,88.0,0.0,0.0,169.0,1008.2,927.6,0.0,0.0,2026-07-31 01:25:00
INTA_POCITO,1785461,2026-07-31,01:30:00,8.3,89.0,0.0,0.0,165.0,1008.1,927.5,0.0,0.0,2026-07-31 01:30:00
INTA_POCITO,1785461,2026-07-31,01:35:00,8.2,89.0,0.0,0.0,180.0,1008.0,927.4,0.0,0.0,2026-07-31 01:35:00
INTA_POCITO,1785462,2026-07-31,01:40:00,8.1,89.0,0.0,0.0,179.0,1008.0,927.4,0.0,0.0,2026-07-31 01:40:00
INTA_POCITO,1785462,2026-07-31,01:45:00,8.2,89.0,0.0,0.0,179.0,1007.8,927.2,0.0,0.0,2026-07-31 01:45:00
INTA_POCITO,1785462,2026-07-31,01:50:00,8.2,89.0,0.0,0.0,129.0,1007.7,927.1,0.0,0.0,2026-07-31 01:50:00
INTA_POCITO,1785462,2026-07-31,01:55:00,8.7,90.0,0.0,0.0,124.0,1007.6,927.0,0.0,0.0,2026-07-31 01:55:00
INTA_POCITO,1785463,2026-07-31,02:00:00,8.8,90.0,0.0,0.0,117.0,1007.5,926.9,0.0,0.0,2026-07-31 02:00:00
INTA_POCITO,1785463,2026-07-31,02:05:00,8.4,90.0,0.0,0.0,119.0,1007.5,926.8,0.0,0.0,2026-07-31 02:05:00
INTA_POCITO,1785463,2026-07-31,02:10:00,8.3,90.0,0.0,0.0,119.0,1007.2,926.6,0.0,0.0,2026-07-31 02:10:00
INTA_POCITO,1785464,2026-07-31,02:15:00,8.3,90.0,0.0,0.0,191.0,1007.2,926.6,0.0,0.0,2026-07-31 02:15:00
INTA_POCITO,1785464,2026-07-31,02:20:00,9.2,90.0,0.0,0.0,180.0,1007.1,926.5,0.0,0.0,2026-07-31 02:20:00
INTA_POCITO,1785464,2026-07-31,02:25:00,8.7,90.0,0.0,0.0,164.0,1007.0,926.4,0.0,0.0,2026-07-31 02:25:00
INTA_POCITO,1785465,2026-07-31,02:30:00,8.2,90.0,0.0,0.0,165.0,1006.9,926.3,0.0,0.0,2026-07-31 02:30:00
INTA_POCITO,1785465,2026-07-31,02:35:00,8.4,90.0,0.0,0.0,149.0,1006.8,926.3,0.0,0.0,2026-07-31 02:35:00
INTA_POCITO,1785465,2026-07-31,02:40:00,8.4,90.0,0.0,0.0,122.0,1006.9,926.4,0.0,0.0,2026-07-31 02:40:00
INTA_POCITO,1785465,2026-07-31,02:45:00,8.2,90.0,0.0,0.0,133.0,1007.0,926.4,0.0,0.0,2026-07-31 02:45:00
INTA_POCITO,1785466,2026-07-31,02:50:00,8.4,90.0,0.0,0.0,144.0,1006.7,926.2,0.0,0.0,2026-07-31 02:50:00
INTA_POCITO,1785466,2026-07-31,02:55:00,8.2,90.0,0.0,0.0,158.0,1006.6,926.0,0.0,0.0,2026-07-31 02:55:00
INTA_POCITO,1785466,2026-07-31,03:00:00,7.9,90.0,0.1,1.8,258.0,1006.6,926.0,0.0,0.0,2026-07-31 03:00:00
INTA_POCITO,1785467,2026-07-31,03:05:00,7.7,90.0,0.0,0.0,177.0,1006.5,925.9,0.0,0.0,2026-07-31 03:05:00
INTA_POCITO,1785467,2026-07-31,03:10:00,7.5,91.0,0.0,0.0,176.0,1006.6,926.0,0.0,0.0,2026-07-31 03:10:00
INTA_POCITO,1785467,2026-07-31,03:15:00,7.3,91.0,0.0,0.0,176.0,1006.6,926.0,0.0,0.0,2026-07-31 03:15:00
INTA_POCITO,1785468,2026-07-31,03:20:00,7.3,91.0,0.0,0.0,176.0,1006.5,925.9,0.0,0.0,2026-07-31 03:20:00
INTA_POCITO,1785468,2026-07-31,03:25:00,7.1,91.0,0.0,0.0,176.0,1006.8,926.2,0.0,0.0,2026-07-31 03:25:00
INTA_POCITO,1785468,2026-07-31,03:30:00,7.2,91.0,0.0,0.0,164.0,1006.7,926.1,0.0,0.0,2026-07-31 03:30:00
INTA_POCITO,1785468,2026-07-31,03:35:00,7.2,92.0,0.0,0.0,149.0,1006.7,926.1,0.0,0.0,2026-07-31 03:35:00
INTA_POCITO,1785469,2026-07-31,03:40:00,7.2,92.0,0.0,0.0,139.0,1006.5,925.9,0.0,0.0,2026-07-31 03:40:00
INTA_POCITO,1785469,2026-07-31,03:45:00,7.1,92.0,0.0,0.0,174.0,1006.5,925.9,0.0,0.0,2026-07-31 03:45:00
INTA_POCITO,1785469,2026-07-31,03:50:00,7.0,92.0,0.0,0.0,160.0,1006.5,925.9,0.0,0.0,2026-07-31 03:50:00
INTA_POCITO,1785470,2026-07-31,03:55:00,6.7,92.0,0.0,0.0,165.0,1006.3,925.7,0.0,0.0,2026-07-31 03:55:00
INTA_POCITO,1785470,2026-07-31,04:00:00,6.8,92.0,0.0,0.0,170.0,1006.3,925.7,0.0,0.0,2026-07-31 04:00:00
INTA_POCITO,1785470,2026-07-31,04:05:00,6.9,92.0,0.0,0.0,153.0,1006.4,925.8,0.0,0.0,2026-07-31 04:05:00
INTA_POCITO,1785471,2026-07-31,04:10:00,7.1,92.0,0.0,0.0,122.0,1006.2,925.6,0.0,0.0,2026-07-31 04:10:00
INTA_POCITO,1785471,2026-07-31,04:15:00,7.3,92.0,0.0,0.0,154.0,1006.2,925.6,0.0,0.0,2026-07-31 04:15:00
INTA_POCITO,1785471,2026-07-31,04:20:00,7.3,92.0,0.0,0.0,137.0,1006.2,925.6,0.0,0.0,2026-07-31 04:20:00
INTA_POCITO,1785471,2026-07-31,04:25:00,7.6,92.0,0.0,0.0,161.0,1006.2,925.6,0.0,0.0,2026-07-31 04:25:00
INTA_POCITO,1785472,2026-07-31,04:30:00,7.7,93.0,0.0,0.0,182.0,1006.1,925.5,0.0,0.0,2026-07-31 04:30:00
INTA_POCITO,1785472,2026-07-31,04:35:00,7.6,93.0,0.0,0.0,180.0,1006.1,925.5,0.0,0.0,2026-07-31 04:35:00
INTA_POCITO,1785472,2026-07-31,04:40:00,7.7,93.0,0.0,0.0,117.0,1006.2,925.6,0.0,0.0,2026-07-31 04:40:00
INTA_POCITO,1785473,2026-07-31,04:45:00,7.8,93.0,0.0,0.0,118.0,1006.2,925.6,0.0,0.0,2026-07-31 04:45:00
INTA_POCITO,1785473,2026-07-31,04:50:00,7.5,93.0,0.0,0.0,101.0,1006.2,925.6,0.0,0.0,2026-07-31 04:50:00
INTA_POCITO,1785473,2026-07-31,04:55:00,7.0,93.0,0.0,0.0,137.0,1006.3,925.7,0.0,0.0,2026-07-31 04:55:00
INTA_POCITO,1785474,2026-07-31,05:00:00,6.8,93.0,0.0,0.0,62.0,1006.4,925.8,0.0,0.0,2026-07-31 05:00:00
INTA_POCITO,1785474,2026-07-31,05:05:00,6.8,93.0,0.0,0.0,114.0,1006.6,926.0,0.0,0.0,2026-07-31 05:05:00
INTA_POCITO,1785474,2026-07-31,05:10:00,7.3,93.0,0.0,0.0,114.0,1006.8,926.2,0.0,0.0,2026-07-31 05:10:00
INTA_POCITO,1785474,2026-07-31,05:15:00,7.3,93.0,0.0,0.0,181.0,1006.7,926.1,0.0,0.0,2026-07-31 05:15:00
INTA_POCITO,1785475,2026-07-31,05:20:00,6.8,93.0,0.0,0.0,207.0,1006.8,926.2,0.0,0.0,2026-07-31 05:20:00
INTA_POCITO,1785475,2026-07-31,05:25:00,6.8,93.0,0.0,0.0,152.0,1006.8,926.2,0.0,0.0,2026-07-31 05:25:00
INTA_POCITO,1785475,2026-07-31,05:30:00,7.2,93.0,0.0,0.0,173.0,1006.7,926.1,0.0,0.0,2026-07-31 05:30:00
INTA_POCITO,1785476,2026-07-31,05:35:00,7.3,93.0,0.0,0.0,195.0,1006.7,926.1,0.0,0.0,2026-07-31 05:35:00
INTA_POCITO,1785476,2026-07-31,05:40:00,7.3,93.0,0.0,0.0,147.0,1006.6,926.0,0.0,0.0,2026-07-31 05:40:00
INTA_POCITO,1785476,2026-07-31,05:45:00,7.2,93.0,0.0,0.0,117.0,1006.5,925.9,0.0,0.0,2026-07-31 05:45:00
INTA_POCITO,1785477,2026-07-31,05:50:00,6.8,93.0,0.0,0.0,117.0,1006.6,926.0,0.0,0.0,2026-07-31 05:50:00
INTA_POCITO,1785477,2026-07-31,05:55:00,6.7,93.0,0.0,0.0,132.0,1006.7,926.1,0.0,0.0,2026-07-31 05:55:00
INTA_POCITO,1785477,2026-07-31,06:00:00,6.8,93.0,0.0,0.0,143.0,1006.8,926.2,0.0,0.0,2026-07-31 06:00:00
INTA_POCITO,1785477,2026-07-31,06:05:00,7.3,93.0,0.0,0.0,235.0,1006.8,926.2,0.0,0.0,2026-07-31 06:05:00
INTA_POCITO,1785478,2026-07-31,06:10:00,7.7,93.0,0.0,0.0,295.0,1006.9,926.3,0.0,0.0,2026-07-31 06:10:00
INTA_POCITO,1785478,2026-07-31,06:15:00,7.8,93.0,0.0,0.0,218.0,1006.8,926.2,0.0,0.0,2026-07-31 06:15:00
INTA_POCITO,1785478,2026-07-31,06:20:00,8.0,93.0,0.0,0.0,123.0,1006.9,926.3,0.0,0.0,2026-07-31 06:20:00
INTA_POCITO,1785479,2026-07-31,06:25:00,7.5,93.0,0.0,0.0,125.0,1007.1,926.4,0.0,0.0,2026-07-31 06:25:00
INTA_POCITO,1785479,2026-07-31,06:30:00,7.3,93.0,0.0,0.0,116.0,1007.1,926.5,0.0,0.0,2026-07-31 06:30:00
INTA_POCITO,1785479,2026-07-31,06:35:00,7.1,93.0,0.0,0.0,130.0,1006.9,926.4,0.0,0.0,2026-07-31 06:35:00
INTA_POCITO,1785480,2026-07-31,06:40:00,6.9,93.0,0.0,0.0,119.0,1007.1,926.5,0.0,0.0,2026-07-31 06:40:00
INTA_POCITO,1785480,2026-07-31,06:45:00,7.1,93.0,0.0,0.0,121.0,1007.2,926.6,0.0,0.0,2026-07-31 06:45:00
INTA_POCITO,1785480,2026-07-31,06:50:00,7.0,93.0,0.0,0.0,143.0,1007.2,926.6,0.0,0.0,2026-07-31 06:50:00
INTA_POCITO,1785480,2026-07-31,06:55:00,6.9,93.0,0.0,0.0,130.0,1007.3,926.7,0.0,0.0,2026-07-31 06:55:00
INTA_POCITO,1785481,2026-07-31,07:00:00,6.9,94.0,0.0,0.0,154.0,1007.3,926.7,0.0,0.0,2026-07-31 07:00:00
INTA_POCITO,1785481,2026-07-31,07:05:00,6.9,94.0,0.0,0.0,162.0,1007.5,926.8,0.0,0.0,2026-07-31 07:05:00
INTA_POCITO,1785481,2026-07-31,07:10:00,7.0,94.0,0.0,0.0,134.0,1007.6,927.0,0.0,0.0,2026-07-31 07:10:00
INTA_POCITO,1785482,2026-07-31,07:15:00,6.8,94.0,0.0,0.0,151.0,1007.5,926.9,0.0,0.0,2026-07-31 07:15:00
INTA_POCITO,1785482,2026-07-31,07:20:00,7.0,94.0,0.0,0.0,104.0,1007.8,927.2,0.0,0.0,2026-07-31 07:20:00
INTA_POCITO,1785482,2026-07-31,07:25:00,6.7,94.0,0.0,0.0,87.0,1007.8,927.2,0.0,0.0,2026-07-31 07:25:00
INTA_POCITO,1785483,2026-07-31,07:30:00,7.0,94.0,0.0,0.0,127.0,1007.7,927.1,0.0,0.0,2026-07-31 07:30:00
INTA_POCITO,1785483,2026-07-31,07:35:00,7.2,94.0,0.0,0.0,146.0,1007.7,927.1,0.0,0.0,2026-07-31 07:35:00
INTA_POCITO,1785483,2026-07-31,07:40:00,7.2,94.0,0.0,0.0,149.0,1007.8,927.2,0.0,0.0,2026-07-31 07:40:00
INTA_POCITO,1785483,2026-07-31,07:45:00,6.9,94.0,0.0,0.0,150.0,1008.0,927.4,0.0,0.0,2026-07-31 07:45:00
INTA_POCITO,1785484,2026-07-31,07:50:00,6.8,94.0,0.0,0.0,143.0,1008.2,927.6,0.0,0.0,2026-07-31 07:50:00
INTA_POCITO,1785484,2026-07-31,07:55:00,6.9,94.0,0.0,0.0,159.0,1008.1,927.5,0.0,0.0,2026-07-31 07:55:00
INTA_POCITO,1785484,2026-07-31,08:00:00,6.7,94.0,0.0,0.0,178.0,1008.3,927.7,0.0,0.1,2026-07-31 08:00:00
INTA_POCITO,1785485,2026-07-31,08:05:00,6.3,94.0,0.0,0.0,160.0,1008.3,927.7,0.0,0.4,2026-07-31 08:05:00
INTA_POCITO,1785485,2026-07-31,08:10:00,6.3,94.0,0.0,0.0,148.0,1008.2,927.6,0.0,0.9,2026-07-31 08:10:00
INTA_POCITO,1785485,2026-07-31,08:15:00,6.2,94.0,0.0,0.0,136.0,1008.5,927.9,0.0,2.0,2026-07-31 08:15:00
INTA_POCITO,1785486,2026-07-31,08:20:00,6.7,94.0,0.0,0.0,124.0,1008.5,927.9,0.0,3.6,2026-07-31 08:20:00
INTA_POCITO,1785486,2026-07-31,08:25:00,6.5,94.0,0.0,0.0,160.0,1008.6,928.0,0.0,6.3,2026-07-31 08:25:00
INTA_POCITO,1785486,2026-07-31,08:30:00,6.5,95.0,0.0,0.0,151.0,1008.7,928.1,0.0,9.5,2026-07-31 08:30:00
INTA_POCITO,1785486,2026-07-31,08:35:00,6.7,95.0,0.0,0.0,228.0,1008.6,928.0,0.0,12.9,2026-07-31 08:35:00
INTA_POCITO,1785487,2026-07-31,08:40:00,6.8,95.0,0.0,0.0,186.0,1008.7,928.1,0.0,17.3,2026-07-31 08:40:00
INTA_POCITO,1785493,2026-07-31,10:25:00,14.4,82.0,0.0,0.0,155.0,1007.3,926.6,0.0,316.5,2026-07-31 10:25:00
INTA_POCITO,1785493,2026-07-31,10:30:00,15.2,77.0,2.4,7.2,274.0,1007.6,927.0,0.0,291.1,2026-07-31 10:30:00
INTA_POCITO,1785494,2026-07-31,10:35:00,15.7,75.0,1.6,5.4,222.0,1007.5,926.9,0.0,277.8,2026-07-31 10:35:00
INTA_POCITO,1785494,2026-07-31,10:40:00,15.7,74.0,1.2,3.6,154.0,1007.1,926.5,0.0,269.3,2026-07-31 10:40:00
